Strain,GISAID Clade,Age,Clade,Country,Country of exposure,Admin Division,genbank_accession,gisaid_epi_isl,Host,Old Nextstrain clade,Originating Lab,Pangolin lineage,Submission Date,Region,Region of exposure,Sex,Submitting Lab,url,Collection Date,Author,Division of exposure,Location
Australia/VIC876/2020,GR,64,20B,Oceania,Oceania,Oceania,,EPI_ISL_427131,Human,A2a,Victorian Infectious Diseases Reference Laboratory (VIDRL),B.1.1,Older,Oceania,Oceania,Male,"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",,2020-04-05,Caly L. et al B (https://dx.doi.org/10.1101/2020.05.12.20099929),,
Australia/VIC982/2020,S,36,19B,Oceania,Oceania,Oceania,,EPI_ISL_430543,Human,B,Victorian Infectious Diseases Reference Laboratory (VIDRL),A.2,Older,Oceania,Oceania,Female,"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, The Peter Doherty Institute for Infection and Immunity",,2020-03-30,Caly L. et al B (https://dx.doi.org/10.1101/2020.05.12.20099929),,
Austria/CeMM0002/2020,L,73,19A,Europe,Europe,Europe,,EPI_ISL_419655,Human,,"Center for Virology, Medical University of Vienna",B.3,Older,Europe,Europe,Male,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",,2020-02-26,Alexandra Popa et al,,
Austria/CeMM0003/2020,GR,41,20B,Europe,Europe,Europe,,EPI_ISL_419656,Human,A2a,"Center for Virology, Medical University of Vienna",B.1.1.6,Older,Europe,Europe,Male,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",,2020-02-26,Alexandra Popa et al,,
Austria/CeMM0045/2020,GR,25,20B,Europe,Europe,Europe,,EPI_ISL_437932,Human,A2a,"Institut für Virologie am Department für Hygiene, Mikrobiologie und Public Health",B.1.1,Older,Europe,Europe,Female,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",,2020-02-24,Alexandra Popa et al,,
Austria/CeMM0067/2020,GR,84,20B,Europe,Europe,Europe,,EPI_ISL_437939,Human,A2a,Universitaetsklinik für Innere Medizin II Innsbruck,B.1.1.1,Older,Europe,Europe,Male,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",,2020-04-06,Alexandra Popa et al,,
Austria/CeMM0146/2020,GR,40,20B,Europe,Europe,Europe,,EPI_ISL_437994,Human,A2a,"Center for Virology, Medical University of Vienna",B.1.1.6,Older,Europe,Europe,Female,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",,2020-02-28,Alexandra Popa et al,,
Austria/CeMM0189/2020,GR,56,20B,Europe,Europe,Europe,,EPI_ISL_438030,Human,A2a,"Center for Virology, Medical University of Vienna",B.1.1,Older,Europe,Europe,Female,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",,2020-03-13,Alexandra Popa et al,,
Austria/CeMM0221/2020,G,79,20A,Europe,Europe,Europe,,EPI_ISL_438055,Human,A2a,"Center for Virology, Medical University of Vienna",B.1,Older,Europe,Europe,Male,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",,2020-03-16,Alexandra Popa et al,,
Austria/CeMM0248/2020,L,68,19A,Europe,Europe,Europe,,EPI_ISL_438078,Human,A6,"Center for Virology, Medical University of Vienna",B,Older,Europe,Europe,Male,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",,2020-03-21,Alexandra Popa et al,,
Austria/CeMM0296/2020,G,79,20A,Europe,Europe,Europe,,EPI_ISL_438119,Human,A2a,"Center for Virology, Medical University of Vienna",B.1,Older,Europe,Europe,Male,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",,2020-03-27,Alexandra Popa et al,,
Austria/CeMM0359/2020,GR,83,20B,Europe,Europe,Europe,,EPI_ISL_438122,Human,A2a,"Center for Virology, Medical University of Vienna",B.1.1,Older,Europe,Europe,Male,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",,2020-04-02,Alexandra Popa et al,,
Austria/CeMM0360/2020,GR,83,20B,Europe,Europe,Europe,,EPI_ISL_438123,Human,A2a,"Center for Virology, Medical University of Vienna",B.1.1,Older,Europe,Europe,Male,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",,2020-04-05,Alexandra Popa et al,,
Austria/Graz-MUG16/2020,O,80,20A,Europe,Europe,Europe,,EPI_ISL_437302,Human,A2a,"Diagnostic- and Research Institute of Pathology, Medical University of Graz",B.1.22,Older,Europe,Europe,Female,"Diagnostic- and Research Institute of Pathology, Medical University of Graz",,2020-04-17,Karl Kashofer et al,,
Bangladesh/BARJ_CVASU_CTG_502/2020,S,43,19B,Asia,Asia,Asia,,EPI_ISL_450340,Human,B4,Corona (COVID-19) Testing Laboratory and Bangladesh Institute of Tropical & Infectious Diseases,A,Older,Asia,Asia,Female,Basic and Applied Research on Jute Project,,2020-05-13,Rasel Ahmed et al (https://dx.doi.org/10.1101/2020.06.07.138800),,
Bangladesh/BARJ_CVASU_CTG_503/2020,S,85,19B,Asia,Asia,Asia,,EPI_ISL_450341,Human,B4,,A,Older,Asia,Asia,Female,Basic and Applied Research on Jute Project,,2020-05-13,Md. Sabbir Hossain et al (https://dx.doi.org/10.1101/2020.06.07.138800),,
Bangladesh/BARJ_CVASU_CTG_518/2020,S,55,19B,Asia,Asia,Asia,,EPI_ISL_450345,Human,B4,Corona (COVID-19) Testing Laboratory and Bangladesh Institute of Tropical & Infectious Diseases,A,Older,Asia,Asia,Male,Basic and Applied Research on Jute Project,,2020-05-10,Md. Sabbir Hossain et al (https://dx.doi.org/10.1101/2020.06.07.138800),,
Bangladesh/BCSIR-NILMRC_075/2020,GR,31,20B,Asia,Asia,Asia,,EPI_ISL_466691,Human,A2a,National Institute of Laboratory Medicine and Referral Center,B.1.1,One week ago,Asia,Asia,Male,"Genomic Research Lab, BCSIR",,2020-06-01,Abu Sayeed Mohammad Mahmud et al,,
Bangladesh/BCSIR-NILMRC_076/2020,GR,38,20B,Asia,Asia,Asia,,EPI_ISL_466644,Human,A2a,National Institute of Laboratory Medicine and Referral Center,B.1.1,One week ago,Asia,Asia,Female,"Genomic Research Lab, BCSIR",,2020-06-01,Abu Sayeed Mohammad Mahmud et al,,
Bangladesh/BCSIR-NILMRC_080/2020,GR,38,20B,Asia,Asia,Asia,,EPI_ISL_464162,Human,A2a,National Institute of Laboratory Medicine and Referral Center,B.1.1,One week ago,Asia,Asia,Male,"Genomic Research Lab, BCSIR",,2020-06-01,Md. Ahasan Habib et al,,
Bangladesh/BCSIR-NILMRC_084/2020,GR,38,20B,Asia,Asia,Asia,,EPI_ISL_464160,Human,A2a,National Institute of Laboratory Medicine and Referral Center,B.1.1,One week ago,Asia,Asia,Female,"Genomic Research Lab, BCSIR",,2020-06-01,Shahina Akter et al,,
Bangladesh/CHRF_0001/2020,GR,22,20B,Asia,Asia,Asia,,EPI_ISL_437912,Human,A2a,Child Health Research Foundation,B.1.1,Older,Asia,Asia,Female,Child Health Research Lab,,2020-04-18,Senjuti Saha et al A (https://dx.doi.org/10.1128/MRA.00568-20),,
Bangladesh/CHRF_0002/2020,G,57,20A,Asia,Asia,Asia,,EPI_ISL_468070,Human,A2a,Child Health Research Foundation,B.1,3-7 days ago,Asia,Asia,Male,Child Health Research Foundation,,2020-04-20,Senjuti Saha et al B,,
Bangladesh/CHRF_0009/2020,GR,65,20B,Asia,Asia,Asia,,EPI_ISL_468077,Human,A2a,Child Health Research Foundation,B.1.1,3-7 days ago,Asia,Asia,Male,Child Health Research Foundation,,2020-04-08,Senjuti Saha et al B,,
Bangladesh/DNAS_CPH_466/2020,G,23,20A,Asia,Asia,Asia,,EPI_ISL_445216,Human,A2a,DNA Solution Ltd.,B.1,Older,Asia,Asia,Male,DNA Solution Ltd.,,2020-04-28,Md. Imran Khan et al (https://dx.doi.org/10.1101/2020.06.07.138800),,
Bangladesh/DU_50768/2020,G,27,20A,Asia,Asia,Asia,,EPI_ISL_450843,Human,A2a,COVID-19 Laboratory,B.1,Older,Asia,Asia,Female,DNA Solution Ltd.,,2020-05-06,Sharif Akhteruzzaman et al,,
Beijing/IVDC-01-06/2020,GR,53,20B,Asia,Asia,Asia,,EPI_ISL_469254,Human,A2a,"National Institute for Viral Disease Control and Prevention, China CDC",B.1.1,3-7 days ago,Asia,Asia,Male,"Institute of Viral Disease Control and Prevention, China CDC",,2020-06-11,Wenjie Tan et al,,
Beijing/IVDC-02-06/2020,GR,25,20B,Asia,Asia,Asia,,EPI_ISL_469255,Human,A2a,"National Institute for Viral Disease Control and Prevention, China CDC",B.1.1,3-7 days ago,Asia,Asia,Male,"Institute of Viral Disease Control and Prevention, China CDC",,2020-06-11,Xiang Zhao et al,,
Belgium/20A42/2020,GR,55,20B,Europe,Europe,Europe,,EPI_ISL_452140,Human,A2a,CUB Hopital Erasme Laboratoire d'Anatomie Pathologique,B.1.1.1,One month ago,Europe,Europe,Male,CUB Hopital Erasme Laboratoire d'Anatomie Pathologique,,2020-04-03,Isabelle Salmon et al,,
Belgium/20A44/2020,GH,66,20C,Europe,Europe,Europe,,EPI_ISL_452149,Human,A2a,CUB Hopital Erasme Laboratoire d'Anatomie Pathologique,B.1,One month ago,Europe,Europe,Male,CUB Hopital Erasme Laboratoire d'Anatomie Pathologique,,2020-04-09,Isabelle Salmon et al,,
Belgium/BA-02291/2020,GH,48,20C,Europe,Europe,Europe,,EPI_ISL_415159,Human,A2a,"KU Leuven, Clinical and Epidemiological Virology",B.1,Older,Europe,Europe,Female,"KU Leuven, Clinical and Epidemiological Virology",,2020-02-29,Bert Vanmechelen et al (https://dx.doi.org/10.1101/2020.05.05.078758),,
Belgium/FAE-030948/2020,G,57,20A,Europe,Europe,Europe,,EPI_ISL_420445,Human,A2a,"KU Leuven, Clinical and Epidemiological Virology",B.1,Older,Europe,Europe,Female,"KU Leuven, Clinical and Epidemiological Virology",,2020-03-09,Joan Marti-Carreras et al (https://dx.doi.org/10.1101/2020.05.05.078758),,
Belgium/GHB-03021/2020,S,54,19B,Europe,Asia,Europe,,EPI_ISL_407976,Human,B,"KU Leuven, Clinical and Epidemiological Virology",A,Older,Europe,Asia,Male,"KU Leuven, Clinical and Epidemiological Virology",,2020-02-03,Bert Vanmechelen et al (https://dx.doi.org/10.1101/2020.05.05.078758),Asia,
Belgium/SG-0507420/2020,GR,32,20B,Europe,Europe,Europe,,EPI_ISL_462274,Human,A2a,"KU Leuven, Rega Institute, Clinical and Epidemiological Virology",B.1.1.1,One week ago,Europe,Europe,Female,"KU Leuven, Rega Institute, Clinical and Epidemiological Virology",,2020-05-07,Tony Wawina-Bokalanga et al,,
Belgium/SN-0331360/2020,G,53,20A,Europe,Europe,Europe,,EPI_ISL_462214,Human,A2a,"KU Leuven, Rega Institute, Clinical and Epidemiological Virology",B.1,One week ago,Europe,Europe,Female,"KU Leuven, Rega Institute, Clinical and Epidemiological Virology",,2020-03-31,Tony Wawina-Bokalanga et al,,
Belgium/UGent-45/2020,G,,20A,Europe,Europe,Europe,,EPI_ISL_434361,Human,A2a,Lab voor klinische biologie,B.1,Older,Europe,Europe,,Onderzoeksgroep Virologie,,2020-03-29,Nick Vereecke et al,,
Belgium/UGent-64/2020,GH,,20A,Europe,Europe,Europe,,EPI_ISL_451175,Human,A2a,Lab voor klinische biologie,B.1,One month ago,Europe,Europe,,Onderzoeksgroep Virologie,,2020-04-07,Nick Vereecke et al,,
Belgium/ULG-10061/2020,GR,,20B,Europe,Europe,Europe,,EPI_ISL_424662,Human,A2a,Department of Clinical Microbiology,B.1.1,Older,Europe,Europe,,GIGA Medical Genomics,,2020-04-05,Keith Durkin et al B (https://dx.doi.org/10.1101/2020.05.05.078758),,
Belgium/ULG-10176/2020,GH,36,20A,Europe,Europe,Europe,,EPI_ISL_455964,Human,A2a,Department of Clinical Microbiology,B.1,One month ago,Europe,Europe,Male,GIGA Medical Genomics,,2020-05-09,Keith Durkin et al A,,
Belgium/ULG-10187/2020,O,83,19A,Europe,Europe,Europe,,EPI_ISL_455975,Human,,Department of Clinical Microbiology,B.3,One month ago,Europe,Europe,Male,GIGA Medical Genomics,,2020-05-11,Keith Durkin et al A,,
Belgium/ULG-10188/2020,G,84,20A,Europe,Europe,Europe,,EPI_ISL_455976,Human,A2a,Department of Clinical Microbiology,B.1,One month ago,Europe,Europe,Male,GIGA Medical Genomics,,2020-05-11,Keith Durkin et al A,,
Belgium/ULG-7242/2020,GR,24,20B,Europe,Europe,Europe,,EPI_ISL_418626,Human,A2a,Department of Clinical Microbiology,B.1.1,Older,Europe,Europe,Female,GIGA Medical Genomics,,2020-03-16,Keith Durkin et al B (https://dx.doi.org/10.1101/2020.05.05.078758),,
BosniaandHerzegovina/01-Livno/2020,O,71,20B,Europe,Europe,Europe,,EPI_ISL_462753,Human,A2a,University Clinical Hospital of Mostar,B.1.1,One week ago,Europe,Europe,Female,University of Sarajevo Veterinary Faculty,,2020-05-27,Goletic et al,,
BosniaandHerzegovina/ChVir7343/2020,G,,20A,Europe,Europe,Europe,,EPI_ISL_462451,Human,A2a,"Clinical Center, University of Sarajevo",B.1,One week ago,Europe,Europe,,"Charite Universitatsmedizin Berlin, Institute of Virology",,2020-03-19,Victor M Corman et al B,,
BosniaandHerzegovina/ChVir7348/2020,G,,20A,Europe,Europe,Europe,,EPI_ISL_462455,Human,A2a,"Clinical Center, University of Sarajevo",B.1,One week ago,Europe,Europe,,"Charite Universitatsmedizin Berlin, Institute of Virology",,2020-03-20,Victor M Corman et al B,,
BosniaandHerzegovina/ChVir7352/2020,G,,20A,Europe,Europe,Europe,,EPI_ISL_462458,Human,A2a,"Clinical Center, University of Sarajevo",B.1,One week ago,Europe,Europe,,"Charite Universitatsmedizin Berlin, Institute of Virology",,2020-03-21,Victor M Corman et al B,,
BosniaandHerzegovina/ChVir7353/2020,G,,20A,Europe,Europe,Europe,,EPI_ISL_462459,Human,A2a,"Clinical Center, University of Sarajevo",B.1,One week ago,Europe,Europe,,"Charite Universitatsmedizin Berlin, Institute of Virology",,2020-03-21,Victor M Corman et al B,,
BosniaandHerzegovina/ChVir7382/2020,G,,20A,Europe,Europe,Europe,,EPI_ISL_462472,Human,A2a,"Clinical Center, University of Sarajevo",B.1,One week ago,Europe,Europe,,"Charite Universitatsmedizin Berlin, Institute of Virology",,2020-04-01,Victor M Corman et al B,,
BosniaandHerzegovina/ChVir7387/2020,G,,20A,Europe,Europe,Europe,,EPI_ISL_462461,Human,A2a,"Clinical Center, University of Sarajevo",B.1,One week ago,Europe,Europe,,"Charite Universitatsmedizin Berlin, Institute of Virology",,2020-04-11,Victor M Corman et al B,,
BosniaandHerzegovina/ChVir7396/2020,G,,20A,Europe,Europe,Europe,,EPI_ISL_462466,Human,A2a,"Clinical Center, University of Sarajevo",B.1,One week ago,Europe,Europe,,"Charite Universitatsmedizin Berlin, Institute of Virology",,2020-04-21,Victor M Corman et al B,,
BosniaandHerzegovina/ChVir7402/2020,GH,,20A,Europe,Europe,Europe,,EPI_ISL_462470,Human,A2a,"Clinical Center, University of Sarajevo",B.1.22,One week ago,Europe,Europe,,"Charite Universitatsmedizin Berlin, Institute of Virology",,2020-04-22,Victor M Corman et al B,,
Brazil/AP163972-IEC/2020,GR,44,20B,South America,South America,South America,,EPI_ISL_458144,Human,A2a,﻿Evandro Chagas Institute,B.1.1,One month ago,South America,South America,Male,﻿Evandro Chagas Institute,,2020-04-15,Santos et al (https://dx.doi.org/10.1101/2020.06.11.20128249),,
Brazil/AP164082-IEC/2020,GR,44,20B,South America,South America,South America,,EPI_ISL_458143,Human,A2a,﻿Evandro Chagas Institute,B.1.1,One month ago,South America,South America,Male,﻿Evandro Chagas Institute,,2020-04-15,Santos et al (https://dx.doi.org/10.1101/2020.06.11.20128249),,
Brazil/CV4/2020,O,65,20A,South America,South America,South America,,EPI_ISL_429667,Human,A2a,Central Public Health Laboratory/Octávio Magalhães Institute (IOM) from the Ezequiel Dias Foundation (FUNED),B.1,Older,South America,South America,Male,Instituto Octávio Magalhães / Fundação Ezequiel Dias (IOM/Funed),,2020-03-09,Talita Adelino et al (https://www.medrxiv.org/content/10.1101/2020.05.05.20091611v1),,
Brazil/RJ-2696/2020,GR,65,20B,South America,South America,South America,,EPI_ISL_467358,Human,A2a,"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ",B.1.1,One week ago,South America,South America,Female,"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ",,2020-04-24,Paola Resende et al,,
Brazil/RJ-2840/2020,GR,36,20B,South America,South America,South America,,EPI_ISL_467368,Human,A2a,"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ",B.1.1,One week ago,South America,South America,Male,"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ",,2020-04-28,Paola Resende et al,,
Brazil/SP-551/2020,GR,93,20B,South America,South America,South America,,EPI_ISL_471554,Human,A2a,Hospital Bosque da Saúde,B.1.1,New,South America,South America,Female,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory",,2020-03-29,Claudio Tavares Sacchi et al A,,
